TransactionID,CustomerSegment,ProductCategory,PurchaseAmount ($),Quantity,PurchaseDate
1,Regular,Beauty,525.95,4,2024-08-12 09:30:40.645845335
2,Regular,Electronics,285.85,9,2024-04-27 07:52:23.945870858
3,Regular,Beauty,301.59,7,2022-03-30 00:05:12.796452239
4,Wholesale,Books,281.46,2,2024-10-21 03:13:50.497259964
5,Premium,Beauty,772.65,4,2023-05-28 11:06:15.808708464
6,Wholesale,Clothing,653.64,5,2024-04-14 15:21:51.883469830
7,Regular,Beauty,833.26,3,2023-08-28 19:05:58.302580450
8,Premium,Home & Kitchen,975.6,9,2024-12-13 08:50:25.589839887
9,Wholesale,Books,476.79,5,2024-10-29 19:09:42.787188733
10,Regular,Clothing,71.36,2,2024-12-02 18:08:30.236609314
11,Regular,Beauty,52.85,3,2023-03-01 22:15:26.931363860
12,Wholesale,Books,299.19,9,2024-09-04 22:30:32.169299882
13,Wholesale,Books,932.88,7,2023-05-17 09:48:54.286433263
14,Wholesale,Clothing,525.6,2,2022-03-30 10:59:34.836290847
15,Regular,Beauty,275.43,9,2022-10-01 04:29:50.048976005
16,Wholesale,Books,402.17,4,2024-09-17 13:50:10.197615898
17,Regular,Books,600.6,9,2022-12-31 14:09:03.124012696
18,Wholesale,Electronics,654.68,2,2023-09-04 07:13:40.053812872
19,Regular,Books,158.15,4,2024-11-05 20:46:44.331833299
20,Regular,Electronics,977.15,5,2023-06-03 07:04:17.401737318
21,Premium,Beauty,547.05,2,2023-08-20 20:09:21.008008758
22,Wholesale,Beauty,140.01,1,2022-09-22 02:59:27.894553700
23,Wholesale,Beauty,894.17,7,2023-01-31 21:14:17.764227884
24,Regular,Home & Kitchen,79.27,1,2022-07-29 06:21:20.095904888
25,Regular,Beauty,908.2,8,2023-09-08 17:17:59.611939321
26,Regular,Books,996.58,3,2022-07-26 09:39:35.890248446
27,Premium,Clothing,701.93,6,2024-04-19 20:01:31.896536606
28,Premium,Electronics,771.59,7,2022-12-16 12:47:18.489081567
29,Regular,Home & Kitchen,340.62,1,2022-06-29 21:41:29.514298787
30,Wholesale,Beauty,941.87,6,2024-03-25 04:27:30.669227449
31,Wholesale,Beauty,532.07,7,2022-05-23 13:17:36.771150871
32,Premium,Clothing,733.73,6,2022-09-26 20:56:26.131840186
33,Premium,Clothing,924.49,4,2022-10-29 06:14:32.057151091
34,Regular,Home & Kitchen,975.3,1,2024-05-29 02:16:30.433979428
35,Wholesale,Electronics,834.04,9,2023-07-21 04:07:32.792998114
36,Regular,Beauty,306.5,4,2024-10-11 05:07:28.945223495
37,Premium,Home & Kitchen,966.71,7,2022-02-09 09:24:01.727567957
38,Wholesale,Books,629.98,7,2024-06-30 21:13:49.010979675
39,Wholesale,Books,930.99,2,2024-04-16 14:06:57.451799786
40,Premium,Home & Kitchen,677.72,1,2023-02-13 13:19:09.624628189
41,Regular,Beauty,310.7,8,2023-11-13 12:33:35.575693714
42,Regular,Home & Kitchen,373.17,8,2023-08-27 12:42:18.473713166
43,Wholesale,Beauty,552.72,7,2024-01-02 04:42:01.066554282
44,Premium,Clothing,791.06,8,2022-07-27 08:37:52.821766820
45,Wholesale,Home & Kitchen,321.39,3,2022-05-08 22:49:36.074468970
46,Premium,Beauty,581.83,2,2023-05-29 06:20:59.687514195
